,Unnamed: 0,Category,Accelerometer,Gyroscope,Magnetometer,Duration
0,0,CLIMBING,92,73,7,2
1,1,CLIMBING,100,100,10,2
2,2,CLIMBING,100,100,10,2
3,3,CLIMBING,100,100,10,2
4,4,CLIMBING,100,100,10,2
5,5,CLIMBING,100,100,10,2
6,6,CLIMBING,100,100,10,2
7,7,CLIMBING,100,100,10,2
8,8,CLIMBING,70,70,7,2
9,9,CLIMBING,100,100,10,2
10,10,CLIMBING,100,100,10,2
11,11,CLIMBING,100,100,10,2
12,12,CLIMBING,100,100,10,2
13,13,CLIMBING,100,100,10,2
14,14,CLIMBING,100,100,10,2
15,15,CLIMBING,100,100,10,2
16,16,CLIMBING,100,100,10,2
17,17,CLIMBING,100,100,10,2
18,18,CLIMBING,100,100,10,2
19,19,CLIMBING,100,100,10,2
20,20,CLIMBING,100,100,10,2
21,21,CLIMBING,100,100,10,2
22,22,CLIMBING,100,100,10,2
23,23,CLIMBING,100,100,10,2
24,24,CLIMBING,100,100,10,2
25,25,CLIMBING,100,100,10,2
26,26,CLIMBING,100,100,10,2
27,27,CLIMBING,100,100,10,2
28,28,CLIMBING,100,100,10,2
29,29,CLIMBING,100,100,10,2
30,30,CLIMBING,100,100,10,2
31,31,CLIMBING,100,100,10,2
32,32,CLIMBING,100,100,10,2
33,33,CLIMBING,100,100,10,2
34,34,CLIMBING,100,100,10,2
35,35,CLIMBING,100,100,10,2
36,36,CLIMBING,100,100,10,2
37,37,CLIMBING,100,100,10,2
38,38,CLIMBING,100,100,10,2
39,39,CLIMBING,100,100,10,2
40,40,CLIMBING,100,100,10,2
41,41,CLIMBING,100,100,10,2
42,42,CLIMBING,100,100,10,2
43,43,CLIMBING,100,100,10,2
44,44,CLIMBING,100,100,10,2
45,45,CLIMBING,100,100,10,2
46,46,CLIMBING,100,100,10,2
47,47,CLIMBING,100,100,10,2
48,48,CLIMBING,100,100,10,2
49,49,CLIMBING,100,100,10,2
50,50,CLIMBING,100,100,10,2
51,51,CLIMBING,100,100,10,2
52,52,CLIMBING,100,100,10,2
53,53,FALLING,100,100,10,2
54,54,FALLING,2,2,1,2
55,55,FALLING,100,100,10,2
56,56,FALLING,100,100,10,2
57,57,FALLING,100,100,10,2
58,58,FALLING,100,100,9,2
59,59,FALLING,100,100,9,2
60,60,FALLING,100,100,10,2
61,61,FALLING,100,100,10,2
62,62,FALLING,100,100,10,2
63,63,FALLING,100,100,10,2
64,64,FALLING,100,100,9,2
65,65,FALLING,100,100,9,2
66,66,FALLING,100,100,10,2
67,67,FALLING,100,100,10,2
68,68,FALLING,100,100,10,2
69,69,FALLING,100,100,10,2
70,70,FALLING,100,100,10,2
71,71,FALLING,100,100,10,2
72,72,FALLING,100,100,10,2
73,73,FALLING,100,100,10,2
74,74,FALLING,100,100,10,2
75,75,FALLING,100,100,10,2
76,76,FALLING,100,100,10,2
77,77,FALLING,100,100,9,2
78,78,FALLING,100,100,10,2
79,79,FALLING,100,100,10,2
80,80,FALLING,100,100,10,2
81,81,FALLING,100,100,10,2
82,82,FALLING,100,100,10,2
83,83,FALLING,100,100,10,2
84,84,FALLING,100,100,10,2
85,85,FALLING,100,100,10,2
86,86,FALLING,100,100,10,2
87,87,FALLING,100,100,10,2
88,88,FALLING,100,100,10,2
89,89,FALLING,100,100,9,2
90,90,FALLING,100,100,10,2
91,91,FALLING,100,100,10,2
92,92,FALLING,100,100,9,2
93,93,FALLING,100,100,9,2
94,94,FALLING,100,100,10,2
95,95,FALLING,100,100,10,2
96,96,FALLING,100,100,10,2
97,97,FALLING,100,100,10,2
98,98,FALLING,100,100,10,2
99,99,FALLING,100,100,10,2
100,100,FALLING,100,100,10,2
101,101,FALLING,100,100,10,2
102,102,FALLING,100,100,10,2
103,103,FALLING,100,100,10,2
104,104,FALLING,83,83,8,2
105,105,FALLING,100,100,10,2
106,106,WALKING,100,100,10,2
107,107,WALKING,100,100,10,2
108,108,WALKING,100,100,10,2
109,109,WALKING,100,100,10,2
110,110,WALKING,100,100,10,2
111,111,WALKING,100,100,10,2
112,112,WALKING,100,100,10,2
113,113,WALKING,100,100,10,2
114,114,WALKING,100,100,10,2
115,115,WALKING,100,100,10,2
116,116,WALKING,54,54,5,2
117,117,WALKING,100,100,10,2
118,118,WALKING,100,100,10,2
119,119,WALKING,100,100,10,2
120,120,WALKING,100,100,10,2
121,121,WALKING,100,100,10,2
122,122,WALKING,100,100,10,2
123,123,WALKING,100,100,10,2
124,124,WALKING,55,55,6,2
125,125,WALKING,100,100,10,2
126,126,WALKING,100,100,10,2
127,127,WALKING,100,100,10,2
128,128,WALKING,55,55,6,2
129,129,WALKING,100,100,10,2
130,130,WALKING,100,100,10,2
131,131,WALKING,100,100,10,2
132,132,WALKING,100,100,10,2
133,133,WALKING,100,100,10,2
134,134,WALKING,100,100,10,2
135,135,WALKING,100,100,10,2
136,136,WALKING,100,100,10,2
137,137,WALKING,100,100,10,2
138,138,WALKING,100,100,10,2
139,139,WALKING,100,100,10,2
140,140,WALKING,100,100,10,2
141,141,WALKING,100,100,10,2
142,142,WALKING,100,100,10,2
143,143,WALKING,100,100,10,2
144,144,WALKING,100,100,10,2
145,145,WALKING,100,100,10,2
146,146,WALKING,55,55,5,2
147,147,WALKING,100,100,10,2
148,148,WALKING,100,100,10,2
149,149,WALKING,100,100,10,2
150,150,WALKING,100,100,10,2
151,151,WALKING,100,100,10,2
152,152,WALKING,100,100,10,2
153,153,WALKING,100,100,10,2
154,154,WALKING,100,100,10,2
155,155,WALKING,100,100,10,2
156,156,WALKING,100,100,10,2
157,157,WALKING,100,100,10,2
158,158,WALKING,100,100,10,2
159,159,DOWNTIME,100,100,10,2
160,160,DOWNTIME,100,100,10,2
161,161,DOWNTIME,100,100,10,2
162,162,DOWNTIME,100,100,10,2
163,163,DOWNTIME,100,100,10,2
164,164,DOWNTIME,100,100,10,2
165,165,DOWNTIME,100,100,10,2
166,166,DOWNTIME,100,100,10,2
167,167,DOWNTIME,100,100,10,2
168,168,DOWNTIME,100,100,10,2
169,169,DOWNTIME,100,100,10,2
170,170,DOWNTIME,100,100,10,2
171,171,DOWNTIME,100,100,10,2
172,172,DOWNTIME,100,100,10,2
173,173,DOWNTIME,100,100,10,2
174,174,DOWNTIME,100,100,10,2
175,175,DOWNTIME,100,100,10,2
176,176,DOWNTIME,100,100,10,2
177,177,DOWNTIME,100,100,10,2
178,178,DOWNTIME,100,100,10,2
179,179,DOWNTIME,100,100,10,2
180,180,DOWNTIME,100,100,10,2
181,181,DOWNTIME,100,100,10,2
182,182,DOWNTIME,100,100,10,2
183,183,DOWNTIME,100,100,10,2
184,184,DOWNTIME,100,100,10,2
185,185,DOWNTIME,100,100,10,2
186,186,DOWNTIME,100,100,10,2
187,187,DOWNTIME,100,100,10,2
188,188,DOWNTIME,100,100,10,2
189,189,DOWNTIME,100,100,10,2
190,190,DOWNTIME,100,100,10,2
191,191,DOWNTIME,100,100,10,2
192,192,DOWNTIME,100,100,10,2
193,193,DOWNTIME,100,100,10,2
194,194,DOWNTIME,100,100,10,2
195,195,DOWNTIME,65,65,6,2
196,196,DOWNTIME,100,100,10,2
197,197,DOWNTIME,100,100,10,2
198,198,DOWNTIME,100,100,10,2
199,199,DOWNTIME,100,100,10,2
200,200,DOWNTIME,100,100,10,2
201,201,DOWNTIME,100,100,10,2
202,202,DOWNTIME,100,100,10,2
203,203,DOWNTIME,100,100,10,2
204,204,DOWNTIME,100,100,10,2
205,205,DOWNTIME,100,100,10,2
206,206,DOWNTIME,100,100,10,2
207,207,DOWNTIME,100,100,10,2
208,208,DOWNTIME,100,100,10,2
209,209,DOWNTIME,100,100,10,2
210,210,DOWNTIME,100,100,10,2
211,211,DOWNTIME,100,100,10,2
